MOV  | REG  : 0    | ADDR : 0    | 200cc  |
MOV  | REG  : 6    | ADDR : 4    | 200cc  |
MUL  | REG  : 0    | REG  : 6    | 30cc   |
MOV  | REG  : 6    | ADDR : 8    | 200cc  |
MUL  | REG  : 0    | REG  : 6    | 30cc   |
MOV  | REG  : 1    | CONST: 1    | 10cc   |
ADD  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | ADDR : 12   | REG  : 0    | 200cc  |
MOV  | ADDR : 16   | REG  : 0    | 200cc  |
MOV  | ADDR : 20   | REG  : 0    | 200cc  |
MOV  | ADDR : 24   | REG  : 0    | 200cc  |
MOV  | ADDR : 28   | REG  : 0    | 200cc  |
MOV  | ADDR : 32   | REG  : 0    | 200cc  |
MOV  | ADDR : 36   | REG  : 0    | 200cc  |
MOV  | ADDR : 40   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 40   | 200cc  |
MOV  | REG  : 6    | ADDR : 36   | 200cc  |
AND  | REG  : 0    | REG  : 6    | 10cc   |
MOV  | ADDR : 44   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 40   | 200cc  |
MOV  | REG  : 6    | ADDR : 36   | 200cc  |
OR   | REG  : 0    | REG  : 6    | 10cc   |
MOV  | ADDR : 48   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 40   | 200cc  |
MOV  | REG  : 6    | ADDR : 36   | 200cc  |
XOR  | REG  : 0    | REG  : 6    | 10cc   |
MOV  | ADDR : 52   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 44   | 200cc  |
MOV  | REG  : 6    | ADDR : 48   | 200cc  |
MUL  | REG  : 0    | REG  : 6    | 30cc   |
MOV  | REG  : 6    | ADDR : 52   | 200cc  |
MUL  | REG  : 0    | REG  : 6    | 30cc   |
MOV  | ADDR : 56   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 40   | 200cc  |
MOV  | REG  : 6    | ADDR : 36   | 200cc  |
MUL  | REG  : 0    | REG  : 6    | 30cc   |
MOV  | REG  : 1    | ADDR : 32   | 200cc  |
MOV  | REG  : 6    | ADDR : 28   | 200cc  |
MUL  | REG  : 1    | REG  : 6    | 30cc   |
ADD  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | REG  : 1    | ADDR : 24   | 200cc  |
MOV  | REG  : 6    | ADDR : 20   | 200cc  |
DIV  | REG  : 1    | REG  : 6    | 50cc   |
MOV  | REG  : 2    | ADDR : 16   | 200cc  |
MOV  | REG  : 6    | ADDR : 12   | 200cc  |
DIV  | REG  : 2    | REG  : 6    | 50cc   |
ADD  | REG  : 1    | REG  : 2    | 10cc   |
MUL  | REG  : 0    | REG  : 1    | 30cc   |
MOV  | ADDR : 60   | REG  : 0    | 200cc  |
MOV  | REG  : 6    | ADDR : 44   | 200cc  |
MOV  | REG  : 7    | CONST: 1    | 10cc   |
ADD  | REG  : 6    | REG  : 7    | 10cc   |
MOV  | ADDR : 44   | REG  : 6    | 200cc  |
MOV  | REG  : 6    | ADDR : 48   | 200cc  |
MOV  | REG  : 7    | CONST: 1    | 10cc   |
ADD  | REG  : 6    | REG  : 7    | 10cc   |
MOV  | ADDR : 48   | REG  : 6    | 200cc  |
MOV  | REG  : 0    | ADDR : 44   | 200cc  |
MOV  | REG  : 6    | ADDR : 48   | 200cc  |
SUB  | REG  : 0    | REG  : 6    | 10cc   |
MOV  | REG  : 6    | ADDR : 52   | 200cc  |
MOV  | REG  : 7    | CONST: 1    | 10cc   |
SUB  | REG  : 6    | REG  : 7    | 10cc   |
MOV  | ADDR : 52   | REG  : 6    | 200cc  |
MOV  | REG  : 6    | ADDR : 52   | 200cc  |
ADD  | REG  : 0    | REG  : 6    | 10cc   |
MOV  | REG  : 6    | ADDR : 56   | 200cc  |
MOV  | REG  : 7    | CONST: 1    | 10cc   |
ADD  | REG  : 6    | REG  : 7    | 10cc   |
MOV  | ADDR : 56   | REG  : 6    | 200cc  |
MOV  | REG  : 6    | ADDR : 56   | 200cc  |
SUB  | REG  : 0    | REG  : 6    | 10cc   |
MOV  | REG  : 6    | ADDR : 60   | 200cc  |
MOV  | REG  : 7    | CONST: 1    | 10cc   |
SUB  | REG  : 6    | REG  : 7    | 10cc   |
MOV  | ADDR : 60   | REG  : 6    | 200cc  |
MOV  | REG  : 6    | ADDR : 60   | 200cc  |
ADD  | REG  : 0    | REG  : 6    | 10cc   |
MOV  | ADDR : 0    | REG  : 0    | 200cc  |
MOV  | REG  : 6    | ADDR : 40   | 200cc  |
MOV  | REG  : 7    | CONST: 1    | 10cc   |
ADD  | REG  : 6    | REG  : 7    | 10cc   |
MOV  | ADDR : 40   | REG  : 6    | 200cc  |
MOV  | REG  : 6    | ADDR : 36   | 200cc  |
MOV  | REG  : 7    | CONST: 1    | 10cc   |
ADD  | REG  : 6    | REG  : 7    | 10cc   |
MOV  | ADDR : 36   | REG  : 6    | 200cc  |
